Sentence,Category,Spacy
" E, Siegman, Lasers, University Science Press, Sausalito CA, 1986 Charles Townes.",None,[]
" ""How the Laser Happened"", Oxford University Press, 1999 J.",None,[]
 Aghakhan Abdullayev (Azerbaijani: Ağaxan Abdullayev; 6 February 1950 – 25 December 2016) was an Azerbaijani khananda folk singer.,H0,"[[0, 8, 'H0'], [9, 19, 'H0'], [34, 40, 'H0'], [41, 52, 'H0'], [53, 54, 'H1'], [55, 63, 'H1'], [64, 68, 'H1'], [71, 73, 'H1'], [74, 82, 'H1'], [83, 88, 'H1'], [96, 107, 'H1'], [108, 116, 'H1'], [117, 121, 'H1'], [122, 129, 'H1']]"
" He was often called ""Guardian"" of the Mugham.",None,[]
" Abdullayev was born in Baku where he graduated from secondary school in 1968, then continued his education at the Zeynally Music College until 1973.",H0,"[[0, 10, 'H0'], [23, 27, 'H1'], [114, 122, 'H1'], [123, 128, 'H1'], [129, 136, 'H1']]"
" He became a mugham teacher in 1973 at the Abilov Culture House in Baku, and also worked as a teacher at the Zeynally Music College in 1977.",H1,"[[12, 18, 'H1'], [19, 26, 'H1'], [27, 29, 'H1'], [30, 34, 'H1'], [35, 37, 'H1'], [38, 41, 'H1'], [42, 48, 'H1'], [49, 56, 'H1'], [57, 62, 'H1']]"
 His concert career started in 1975 on the stage of Azerbaijan State Philharmonic Hall.,None,[]
" He performed concerts in several countries of the world, including Iran, Canada, Russia, Austria, Sweden, US, and many other countries in Europe, Asia and Latin America.",None,[]
" In 1992, was awarded the title of Honored Artist of the Azerbaijan Republic, and in 1998 was designated People's Artist of the Azerbaijan Republic.",None,[]
" In 2000, for his pedagogical activity, he was awarded an Honorary Diploma by the Ministry of Education of the Azerbaijan Republic.",None,[]
" In 2001, he received the ""Simurg"" Award of the National Award Fund and in 2002 the ""Humay"" National Award.",None,[]
" He also received in 2003 the ""Live on, Azerbaijan"" Award.",None,[]
 Engineer Magaji Abdullahi (22 Nov 1947 – 24 July 2016) was a Nigerian politician.,H0,"[[9, 15, 'H0'], [16, 25, 'H0'], [30, 33, 'H1'], [34, 38, 'H1'], [39, 40, 'H1'], [41, 43, 'H1'], [44, 48, 'H1'], [49, 54, 'H1'], [61, 69, 'H1'], [70, 81, 'H1']]"
 He was the deputy governor of Kano State between 2003 and 2007.,H1,"[[11, 17, 'H1'], [18, 26, 'H1'], [27, 29, 'H1'], [30, 34, 'H1'], [35, 40, 'H1']]"
 Abdullahi led the Water Resources Engineering and Construction Agency (WRECA) in Kano State.,H0,"[[0, 9, 'H0']]"
" Abdullahi came into the limelight when he contested for the governorship of Kano State, under the defunct Social Democratic Party (SDP) in 1991.",H0,"[[0, 9, 'H0']]"
" In 1999, he defeated Kabiru Gaya in the APP governorship primaries but lost to Rabiu Kwankwaso of the PDP.",H0,"[[21, 27, 'H0'], [28, 32, 'H0'], [79, 84, 'H0'], [85, 94, 'H0']]"
 He later became Ibrahim Shekarau's running mate in 2003 and served as Deputy Governor under APP.,H0,"[[16, 23, 'H0'], [24, 34, 'H0']]"
 He served later under ANPP from 2003 to 2007.,None,[]
" Abdullahi died on July 27, 2016 in Aminu Kano Teaching Hospital in Kano, Nigeria.",H1,"[[18, 22, 'H1'], [23, 26, 'H1'], [27, 31, 'H1'], [35, 40, 'H1'], [41, 45, 'H1'], [46, 54, 'H1'], [55, 63, 'H1'], [64, 66, 'H1'], [67, 72, 'H1'], [73, 81, 'H1']]"
 David Fuseini Abdulai (c.,H0,"[[0, 5, 'H0'], [6, 13, 'H0'], [14, 21, 'H0']]"
" 1951 – 2 October 2016) was a philanthropist, physician and founder of the Shekinnah clinic in Tamale, Ghana.",H0,"[[7, 8, 'H0'], [9, 16, 'H0'], [17, 22, 'H0'], [59, 66, 'H0'], [67, 69, 'H0'], [70, 73, 'H0'], [74, 83, 'H0'], [84, 90, 'H0']]"
" He was the fifth recipient of the Martin Luther King Jr Award, conferred on him by the US Embassy in Ghana in 2012.",None,[]
" Mawlana Abdul Jabbar Jahanabadi (Bengali: মাওলানা আবদুল জব্বার জাহানাবাদী) was a prominent Islamic Scholar and secretary general of Befaqul Madarisil Arabia Bangladesh In 1961, Abdul Jabbar completed Dawra-e Hadeeth from Dhaka's Bara katara Madrasa.",H0,"[[8, 13, 'H0'], [14, 20, 'H0'], [21, 31, 'H0'], [42, 49, 'H0'], [111, 120, 'H1'], [121, 128, 'H1'], [129, 131, 'H1'], [132, 139, 'H1'], [140, 149, 'H1'], [150, 156, 'H1'], [157, 167, 'H1'], [229, 233, 'H1'], [234, 240, 'H1'], [241, 249, 'H1']]"
 After that he started teaching there Abdul Jabbar acted as responsible for Bangladesh Qawmi Madrasah Education Board since its establishment in 1978 till his death.,H1,"[[75, 85, 'H1'], [86, 91, 'H1'], [92, 100, 'H1'], [101, 110, 'H1'], [111, 116, 'H1']]"
 He was involved in the establishment and management of many madrasas.,None,[]
 His role in various Islamic organizations and movement is outstanding.,None,[]
" Before joining Befaq, Moulana Jabbar serves as the Dhaka city General Secretary of Jamiat Ulema-e Islam Bangladesh.",H0,"[[30, 36, 'H0'], [51, 56, 'H1'], [57, 61, 'H1'], [62, 69, 'H1'], [70, 79, 'H1']]"
 He became a founding member of Jatrabari Jamia Madania and also serves as a teacher there for a short time.,H1,"[[21, 27, 'H1'], [28, 30, 'H1'], [31, 40, 'H1'], [41, 46, 'H1'], [47, 54, 'H1']]"
 Maulana Abdul Jabbar was not just a devout scholar.,H0,"[[8, 13, 'H0'], [14, 20, 'H0']]"
 He is also well known as a writer.,None,[]
 Maulana Abdul Jabbar used to write about religious matters.,H0,"[[8, 13, 'H0'], [14, 20, 'H0']]"
 The following published works are authored by Abdul Jabbar Jahanabadi.,H0,"[[46, 51, 'H0'], [52, 58, 'H0'], [59, 70, 'H0']]"
1,None,[]
 Islam and Modern Technology (ইসলাম ও আধুনিক প্রযুক্তি) 2.,None,[]
 International Conspiracy Against Madrasa Education (মাদরাসা শিক্ষার বিরুদ্ধে আন্তর্জাতিক ষড়যন্ত্র) 3.,None,[]
 Muslim Rule and Their Glorious History in Indian Subcontinent (ভারত উপমহাদেশে মুসলিম শাসন ও তাদের গৌরবময় ইতিহাস) 4.,None,[]
 Abdul Haq Azmi (1928 - 30 December 2016) was an Indian Islamic scholar of the Deobandi school of Islamic thought.,H0,"[[0, 5, 'H0'], [6, 9, 'H0'], [10, 14, 'H0'], [23, 25, 'H1'], [26, 34, 'H1'], [35, 40, 'H1'], [48, 54, 'H1'], [55, 62, 'H1']]"
 He was fomer Shaykh al-Hadith of the Darul Uloom Deoband.,H1,"[[13, 19, 'H1'], [20, 29, 'H1'], [30, 32, 'H1'], [33, 36, 'H1'], [37, 42, 'H1'], [43, 48, 'H1'], [49, 57, 'H1']]"
 He is also known as Shaykh Saani among his followers.,H0,"[[20, 26, 'H0'], [27, 32, 'H0']]"
 Maulana Abdul Haq Azmi was born in 1928 in Jagdishpur area of Azamgarh.,H0,"[[8, 13, 'H0'], [14, 17, 'H0'], [18, 22, 'H0'], [62, 71, 'H1']]"
 He started his educational journey from local schools and then went to Madrasa Bayt al-Ulum in Sarai Mir in Azamgarh for further studies.,None,[]
" He later studied in Darul Uloom Mau up to 7th grade of Arabic and then entered in to the Darul Uloom Deoband in 1948 and graduated from there after studying under the likes of Hussain Ahmad Madani, Izaz Ali Amrohi and Allama Ibrahim Balyawi.",H0,"[[176, 183, 'H0'], [184, 189, 'H0'], [190, 197, 'H0'], [198, 202, 'H0'], [203, 206, 'H0'], [207, 213, 'H0'], [218, 224, 'H0'], [225, 232, 'H0'], [233, 241, 'H0']]"
" He studied rational sciences from his stepfather Maulana Muslim Jaunpuri, who was one of the notable disciples of Majid Ali Jaunpuri.",H0,"[[57, 63, 'H0'], [64, 73, 'H0'], [114, 119, 'H0'], [120, 123, 'H0'], [124, 133, 'H0']]"
" He taught different Islamic disciples of knowledge in Mata'ul Uloom, Banaras for over sixteen years.",None,[]
" He served Darul Uloom Mau as Mufti for about thirteen years, and authored nearly 13000 fatawa from there.",H0,"[[10, 15, 'H0'], [16, 21, 'H0'], [22, 25, 'H0'], [29, 34, 'H1']]"
 He was later appointed as Hadith teacher of the Darul Uloom Deoband in 1982 where he was entrusted with the responsibility of teaching Volume II of the Sahih Bukhari and Mishkat al-Masabih.,None,[]
 He taught Sahih Bukhari in the Darul Uloom Deoband for about 34 years.,None,[]
" His notable students include Mohammad Najeeb Qasmi, Mahmood Madani, Maulana Nur Alam Khalil Amini and Maulana Salman Mansoorpuri.",H0,"[[29, 37, 'H0'], [38, 44, 'H0'], [45, 51, 'H0'], [52, 59, 'H0'], [60, 67, 'H0'], [68, 75, 'H0'], [76, 79, 'H0'], [80, 84, 'H0'], [85, 91, 'H0'], [92, 97, 'H0'], [98, 101, 'H0'], [102, 109, 'H0'], [110, 116, 'H0'], [117, 129, 'H0']]"
 Maulana Azmi died on 30 December 2016 corresponding with the Islamic date 30 Rabi' al-awwal 1438 AH right before Isha prayer.,H0,"[[8, 12, 'H0']]"
 His funeral prayer was lead by Arshad Madani and lays rested in the Qasmi cemetery of the Darul Uloom Deoband.,H0,"[[31, 37, 'H0'], [38, 44, 'H0']]"
 He is survived by his wife and twelve children.,None,[]
 His son Abdul Bar Azmi is Professor of Hadith in Madrasa Bayt al-Ulum Sarai Mir in Azamgarh.,H0,"[[8, 13, 'H0'], [14, 17, 'H0'], [18, 22, 'H0']]"
 Serigne Abdou (28 February 1995 – 27 September 2016) was a Qatari footballer of Senegalese descent who played for Al Khor as a defender.,H0,"[[0, 7, 'H0'], [8, 13, 'H0'], [18, 26, 'H0'], [27, 31, 'H0'], [32, 33, 'H0'], [34, 36, 'H0'], [37, 46, 'H0'], [47, 52, 'H0'], [59, 65, 'H0'], [66, 76, 'H0']]"
 He also played for the Qatar youth team.,None,[]
 Abdou graduated from Aspire Academy in 2013.,H0,"[[0, 5, 'H0'], [21, 27, 'H0'], [28, 35, 'H0']]"
 He made his league debut with Al Khor 19 November 2012 against Al Gharafa at the age of 17.,None,[]
 Statistics accurate as of 24 May 2014 1Includes Emir of Qatar Cup.,None,[]
 2Includes Sheikh Jassim Cup.,None,[]
 3Includes AFC Champions League.,None,[]
 Sergine died of cancer on 27 September 2016 aged 21.,H0,"[[0, 7, 'H0'], [26, 28, 'H0'], [29, 38, 'H0'], [39, 43, 'H0']]"
 Hussein Sheikh Abdirahman (1941 – c.,H0,"[[0, 7, 'H0'], [8, 14, 'H0'], [15, 25, 'H0']]"
" May 16, 2016) was a Somali judge and politician.",H1,"[[0, 3, 'H1'], [4, 7, 'H1'], [8, 13, 'H1'], [20, 26, 'H1'], [27, 32, 'H1'], [33, 36, 'H1'], [37, 48, 'H1']]"
 Abdirahman served as the Minister of Defence from 1989 to 1990 under President Siad Barre.,H0,"[[25, 33, 'H1'], [34, 36, 'H1'], [37, 44, 'H1'], [79, 83, 'H0'], [84, 90, 'H0']]"
" He was the first civilian to be appointed Minister of Defence during the Barre regime, as all of Abdirahman's predecessors had been members of the military.",H0,"[[42, 50, 'H1'], [51, 53, 'H1'], [54, 61, 'H1'], [73, 78, 'H0'], [97, 109, 'H0']]"
" Abdirahman was born in 1941 in Aware, a town in the Aware district of Somali Region, Ethiopia.",H0,"[[0, 10, 'H0'], [31, 37, 'H1'], [52, 57, 'H1'], [70, 76, 'H1'], [77, 84, 'H1'], [85, 94, 'H1']]"
 Abdirahman spent much of his career working in Somalia's justice system before entering politics.,H0,"[[0, 10, 'H0']]"
" At various times during his career, Abdirahman served as the chief of the magistrates court of Mogadishu, Attorney General, the commissioner of Sanaag region, and the chief of the appeals court of Mudug region.",H0,"[[36, 46, 'H0']]"
" Abdirahman's judicial career was noticed by President Siad Barre, the leader of the country's military junta.",H0,"[[0, 12, 'H0'], [54, 58, 'H0'], [59, 65, 'H0']]"
" In 1989, Barre appointed Abdirahman as Defence Minister, becoming the first civilian to head the defence ministry under Barre's rule.",H0,"[[9, 14, 'H0'], [25, 35, 'H0'], [120, 127, 'H0']]"
" The appointment of Abdirahman sparked criticism against Barre, because Abdirahman had no military experience at the time.",H0,"[[19, 29, 'H0'], [56, 62, 'H0'], [71, 81, 'H0']]"
 Abdirahman headed the Ministry of Defence from 1989 until 1990.,H0,"[[0, 10, 'H0']]"
" In 1991, Abdirahman immigrated from Somalia to the United States following the collapse of Barre's rule.",H0,"[[9, 19, 'H0']]"
" He settled in Minnesota, where he became a community leader for the Somali American community in Minneapolis, as well as around the U.",None,[]
 S.,None,[]
" Abdirahman died at a hospital in the Minneapolis, Minnesota, after being hospitalized for several months.",H0,"[[0, 10, 'H0']]"
" His family announced his death on Monday, May 16, 2016.",H1,"[[42, 45, 'H1'], [46, 49, 'H1'], [50, 55, 'H1']]"
" Mohamed Abdelaziz (Arabic: محمد عبد العزيز‎; 17 August 1946 – 31 May 2016) was the 3rd Secretary General of the Polisario Front, from 1976, and the 1st President of the Sahrawi Arab Democratic Republic from 1982, until his death in 2016.",H0,"[[0, 7, 'H0'], [8, 17, 'H0'], [45, 47, 'H1'], [48, 54, 'H1'], [55, 59, 'H1'], [60, 61, 'H1'], [62, 64, 'H1'], [65, 68, 'H1'], [69, 74, 'H1'], [87, 96, 'H1'], [97, 104, 'H1'], [105, 107, 'H1'], [108, 111, 'H1'], [112, 121, 'H1'], [122, 128, 'H1'], [152, 161, 'H1'], [162, 164, 'H1'], [165, 168, 'H1'], [169, 176, 'H1'], [177, 181, 'H1'], [182, 192, 'H1'], [193, 201, 'H1']]"
" Mohamed Abdelaziz ben Khalili ben Mohamed al-Bachir Er-Rguibi was born in Marrakesh or in Smara into a Sahrawi family of an eastern Reguibat subtribe, migrating between Western Sahara, Mauritania, western Algeria and southern Morocco.",H0,"[[0, 7, 'H0'], [8, 17, 'H0'], [18, 21, 'H0'], [22, 29, 'H0'], [30, 33, 'H0'], [34, 41, 'H0'], [42, 51, 'H0'], [52, 61, 'H0'], [74, 83, 'H1'], [90, 95, 'H1']]"
" He was the son of Khalili Ben Mohamed Al-Bachir Rguibi, who was a member of the Moroccan Liberation Army and the Royal Moroccan Army.",H0,"[[18, 25, 'H0'], [26, 29, 'H0'], [30, 37, 'H0'], [38, 47, 'H0'], [48, 55, 'H0']]"
 Abdelaziz's father lived in Morocco with a part of his family and was a member of the Royal Advisory Council for Saharan Affairs.,H0,"[[0, 11, 'H0']]"
 His father held two transport licences in Morocco for buses serving Rabat–Casablanca–Essaouira.,None,[]
 The first license was given to him by Hassan II in 1983 and the second by Mohammed VI in 2002.,H0,"[[38, 44, 'H0'], [45, 47, 'H0'], [74, 82, 'H0'], [83, 85, 'H0']]"
" His brother is Mohamed Lahbib Rguibi, lawyer of many Sahrawi human rights activists such as Aminatou Haidar or Naama Asfari, and former ""disappeared"" in Moroccan prisons between 1976 and 1991.",H0,"[[15, 22, 'H0'], [23, 29, 'H0'], [30, 37, 'H0'], [92, 100, 'H0'], [101, 107, 'H0'], [111, 116, 'H0'], [117, 124, 'H0']]"
" As a student in the Mohammed V University of Rabat, he gravitated towards Sahrawi nationalism, and became one of the founding members of the Polisario Front, a Sahrawi independence movement in Western Sahara with strong Arab socialist ideas which launched a few attacks against Spanish colonialism in the Spanish Sahara in 1973.",None,[]
" Shortly after Spain relinquished control of the area to Mauritania and Morocco in the 1975 Madrid Accords, Polisario declared the Sahrawi Arab Democratic Republic (SADR), leading to the Western Sahara War (1975–1991).",None,[]
" From 1976 until his death Abdelaziz was Secretary-General of the Polisario Front, replacing Mahfoud Ali Beiba, who had taken the post as interim Secretary-General after El-Ouali Mustapha Sayed was killed in action in Mauritania.",H0,"[[26, 35, 'H0'], [92, 99, 'H0'], [100, 103, 'H0'], [104, 110, 'H0'], [169, 177, 'H0'], [178, 186, 'H0'], [187, 192, 'H0']]"
" Abdelaziz was also the first president of the SADR from August 1982, after a change made in the constitution by the fifth general congress of the Polisario, deciding the post were to be held by the secretary-general of the Polisario.",H0,"[[0, 9, 'H0']]"
 He lived in exile in the Sahrawi refugee camps in the Tindouf Province of western Algeria.,None,[]
" According to some former members of Polisario now aligned with Morocco, Abdelaziz was ""chosen"" by Algeria at the top of the organization although he did not belong to the very closed circle of the organization's founders and ""he always considered himself to be their man.",None,[]
" "" Under Abdelaziz, Polisario continued its guerrilla war against Morocco and Mauritania, until the latter's withdrawal in 1979 and the construction of the Moroccan Wall in 1980s.",H0,"[[8, 18, 'H0']]"
" With the wall limiting attacks, Abdelaziz turned to diplomatic measures to secure SADR's future.",H0,"[[32, 41, 'H0']]"
" The Organization of African Unity (OAU) seated Western Sahara for the first time in 1982, despite Morocco's vehement objections.",None,[]
 This led to Morocco's withdrawal from the OAU two years later.,None,[]
" In 1985, Abdelaziz was elected as Vice-President of the OAU at its 21st summit, effectively signalling that the Sahrawi Republic would be a permanent OAU member despite the controversy.",H0,"[[9, 18, 'H0']]"
" When the African Union (AU) replaced the OAU in 2001, Abdelaziz was elected as AU vice-president at its first summit.",H0,"[[54, 63, 'H0']]"
" In December 2005, as leader of the Polisario Front, he received Spanish Human Rights Association's ""Human Rights International Prize"".",None,[]
 Abdelaziz died of lung cancer on 31 May 2016.,H0,"[[0, 9, 'H0']]"
" Abdelaziz was considered a secular nationalist and steered the Polisario and the Sahrawi republic towards political compromise, notably in backing the United Nations' Baker Plan in 2003.",H0,"[[0, 9, 'H0']]"
" There was some criticism against Abdelaziz from within the Polisario for preventing reforms inside the movement, and for insisting on a diplomatic course which had gained few concessions from Morocco, rather than re-launching the armed struggle favored by many within the movement.",H0,"[[33, 42, 'H0']]"
" The only supposedly opposition group is the Front Polisario Khat al-Shahid, which states that it wants to continue with militant attacks.",None,[]
 Abdelaziz specifically denied the existence of such a group; he maintained that only the Polisario exists in the camps.,H0,"[[0, 9, 'H0']]"
" Abdelaziz condemned terrorism, insisting the Polisario's guerrilla war is to be a ""clean struggle"" (that is, not targeting private citizens' safety or property); he however acknowledged mistreatment to Moroccan prisoners of war as well as attacking civilian populations in Moroccan cities by the Polisario Front, justifying this as necessary evils in times of war and that the Polisario had to use every means in order to defend the Sahrawi population from the enemy.",H0,"[[0, 9, 'H0']]"
 Mahmoud Abdel Aziz (Arabic: محمود عبد العزيز‎‎; 4 June 1946 – 12 November 2016) was an Egyptian movie and television actor.,H0,"[[0, 7, 'H0'], [8, 13, 'H0'], [14, 18, 'H0'], [28, 33, 'H0'], [48, 49, 'H1'], [50, 54, 'H1'], [55, 59, 'H1'], [60, 61, 'H1'], [62, 64, 'H1'], [65, 73, 'H1'], [74, 79, 'H1'], [87, 95, 'H1'], [117, 123, 'H1']]"
" He became famous for several famous roles in Egypt, before becoming famous in all Arab countries for his role in the TV show Raafat El-Hagan.",None,[]
 The Egyptian Actors Guild announced his death on the night of 12 November 2016.,H1,"[[62, 64, 'H1'], [65, 73, 'H1'], [74, 79, 'H1']]"
" Mahmoud Abdel Aziz was born in Wardeyan, a neighborhood in Alexandria, Egypt to a middle-class family.",H0,"[[0, 7, 'H0'], [8, 13, 'H0'], [14, 18, 'H0'], [31, 40, 'H1'], [59, 70, 'H1'], [71, 76, 'H1']]"
" Although he was studying Agricultural Science at the Alexandria University, he used to practice his acting through the university theatre.",H1,"[[53, 63, 'H1'], [64, 75, 'H1']]"
" He started his acting career by taking a role in Al Dawama TV show in the mid-1970s with Nelly and Mahmoud Yacine, after which he entered the movie industry for the first time through Al Hafeed an all-time Egyptian film classic.",H0,"[[89, 94, 'H0'], [95, 98, 'H0'], [99, 106, 'H0'], [107, 114, 'H0']]"
" Mahmoud Abdel Aziz starred in over 25 movies during the late 1970s and early 1980s; while his popularity was increasing dramatically, most of his movies at the time were categorized as romantic drama.",H0,"[[0, 7, 'H0'], [8, 13, 'H0'], [14, 18, 'H0']]"
 His acting path matured when he started taking different roles which really exposed his talent.,None,[]
 He was known to be equally adept at comedy and drama.,None,[]
" The 1980s marked Mahmoud Abdel Aziz as a superstar when he starred in very successful movies like El Aar (1982), El Kef (1985) and Raafat El-Hagan TV Series which is one of the most popular works of Egyptian television based on the true story of the renowned Egyptian spy Refaat Al-Gammal who was planted in Israel for over 20 years before and after the Six-Day War.",H0,"[[17, 24, 'H0'], [25, 30, 'H0'], [31, 35, 'H0'], [199, 207, 'H1'], [272, 278, 'H0'], [279, 288, 'H0']]"
 Mahmoud Abdel Aziz has starred in over 100 movies and he manage to still surprise his audience with works such as Bab El Khalk (2012) TV Series after 7 years of absence from the Egyptian television.,H0,"[[0, 7, 'H0'], [8, 13, 'H0'], [14, 18, 'H0'], [178, 186, 'H1']]"
 He was married twice.,None,[]
" First to Jelan and they had together two children, Mohamed Mahmoud Abdel Aziz a film producer and director, and Karim Mahmoud Abdel Aziz.",H0,"[[9, 14, 'H0'], [51, 58, 'H0'], [59, 66, 'H0'], [67, 72, 'H0'], [73, 77, 'H0'], [112, 117, 'H0'], [118, 125, 'H0'], [126, 131, 'H0'], [132, 137, 'H0']]"
 After there divorce he married the Egyptian introducer Poussy Chalabi Best Actor in a movie for Kit Kat (1991) at the Damascus International Film Festival and at the Alexandria International Film Festival.,H0,"[[35, 43, 'H1'], [55, 61, 'H0'], [62, 69, 'H0']]"
 Best Actor in a movie for The Captain (1997) at the Damascus International Film Festival.,None,[]
 Best Actor in a movie for Pleasure Market (2000) at the Cairo International Film Festival.,None,[]
 Best Actor in a movie for The Magician (2001) at the Damascus International Film Festival.,None,[]
 Life Time Achievement at the Dubai International Film Festival.,None,[]
" Norman Abbott (July 11, 1922 – July 9, 2016) was an American vaudevillian, actor, producer and television director.",H0,"[[0, 6, 'H0'], [7, 13, 'H0'], [20, 23, 'H1'], [24, 28, 'H1'], [29, 30, 'H1'], [52, 60, 'H1'], [61, 74, 'H1'], [75, 81, 'H1'], [82, 90, 'H1'], [91, 94, 'H1'], [95, 105, 'H1'], [106, 115, 'H1']]"
" Abbott was born in New York City, where his uncle, comedian Bud Abbott, and his mother raised him.",H0,"[[0, 6, 'H0'], [60, 63, 'H0'], [64, 71, 'H0']]"
" His early experience in entertainment was as a vaudeville performer, including summers working the 'borscht circuit"" in resorts in the Catskill Mountains of New York.",H1,"[[47, 57, 'H1'], [58, 68, 'H1']]"
" During World War II, Abbott served as a member of the original United States Navy SEALs team.",H1,"[[63, 69, 'H1'], [70, 76, 'H1'], [77, 81, 'H1'], [82, 87, 'H1'], [88, 93, 'H1']]"
" He directed episodes of Welcome Back, Kotter, Get Smart, The Munsters, Leave It To Beaver, Sanford and Son, and The Jack Benny Program.",None,[]
" In the 1940s, he and Pat Costello (brother of Lou Costello) formed a lesser-known Abbott and Costello comedy duo.",H0,"[[21, 24, 'H0'], [25, 33, 'H0'], [46, 49, 'H0'], [50, 59, 'H0']]"
" Their act reversed roles from the original, with Norman Abbott being the comedian and Pat Costello being the straight man.",H0,"[[49, 55, 'H0'], [56, 62, 'H0'], [86, 89, 'H0'], [90, 98, 'H0']]"
 They also worked as stand-ins for the better-known act during rehearsals for the film Who Done It? (1942).,None,[]
" Abbott's obituary in The Hollywood Reporter described him as ""the brainchild behind the Broadway sensation Sugar Babies, the comeback vehicle for Mickey Rooney in the late 1970s"".",H0,"[[0, 8, 'H0'], [146, 152, 'H0'], [153, 159, 'H0']]"
" He conceived the idea of a Broadway musical based on burlesque after inheriting his uncle's ""treasure trove of burlesque material, including written gags, props, music and posters"".",None,[]
" Despite his having originated the concept, Abbott was fired as director of the show after two weeks' rehearsals.",H0,"[[43, 49, 'H0']]"
" Abbott died in Valencia, California, on July 9, 2016 at the age of 93.",H0,"[[0, 6, 'H0']]"
" He was survived by his wife, four children, a sister, three stepsons, and four grandchildren.",None,[]
 David William Abbott (8 June 1934 – 5 March 2016) was a New Zealand cricket umpire.,H0,"[[0, 5, 'H0'], [6, 13, 'H0'], [14, 20, 'H0'], [24, 28, 'H1'], [29, 33, 'H1'], [34, 35, 'H1'], [56, 59, 'H1'], [60, 67, 'H1'], [68, 75, 'H1'], [76, 83, 'H1']]"
